Title,Complete Path,Folder Name,Extension,Format,Format Profile,Codec ID,File Size (MB),File Size (GB),Duration,Duration Formatted,Overall Bitrate (kbps),Overall Bitrate (Mbps),Recorded Date,Writing Application,Video Codec,Video Bitrate (kbps),Video Bitrate (Mbps),Resolution,Aspect Ratio,Frame Rate (FPS),Color Space,Chroma Subsampling,Video Bit Depth,Scan Type,Encoding Library,HDR Format,Color Range,Color Primaries,Transfer Characteristics,Matrix Coefficients,Maximum Content Light Level (cd/m²),Maximum Frame-Average Light Level (cd/m²),Number of Audio Tracks,Audio Track 1 Codec,Audio Track 1 Bitrate (kbps),Audio Track 1 Channels,Audio Track 1 Language,Audio Track 1 Default,Audio Track 1 Forced,Subtitles Info,TMDB Genre(s),TMDB Rating,Polish Title,Source Directory,Audio Track 2 Codec,Audio Track 2 Bitrate (kbps),Audio Track 2 Channels,Audio Track 2 Language,Audio Track 2 Default,Audio Track 2 Forced,Audio Track 3 Codec,Audio Track 3 Bitrate (kbps),Audio Track 3 Channels,Audio Track 3 Language,Audio Track 3 Default,Audio Track 3 Forced,index,Audio Tracks,Subtitles,Audio Track 4 Codec,Audio Track 4 Bitrate (kbps),Audio Track 4 Channels,Audio Track 4 Language,Audio Track 4 Default,Audio Track 4 Forced
Arek Tomiak in memoriam (2024),\\192.168.50.135\Nowy1\MEDIA\Docu\35mm docu\Season 01\Arek Tomiak in memoriam (2024)\Arek Tomiak in memoriam (2024).mp4,Arek Tomiak in memoriam (2024),.mp4,MPEG-4,Base Media,isom,87.23,0.09,182506,00:03:02,4009.25,4.009,2025-04-04 12:08:56.0454988+02:00,Lavf61.9.106,AVC,3874.1,3.874,1920x1080,1.778,30.0,YUV,4:2:0,8.0,Progressive,,,,,,,,,1,AAC,124369.0,2.0,pl,Yes,,,,,,Docu,,,,,,,,,,,,,93,"[{'Codec': 'AAC', 'Bitrate (kbps)': 124369.0, 'Channels': 2, 'Language': 'pl', 'Default': 'Yes', 'Forced': None}]",,,,,,,
Autoportret artysty (1985),\\192.168.50.135\Nowy1\MEDIA\Docu\35mm docu\Season 01\Autoportret artysty (1985)\Autoportret artysty (1985).mp4,Autoportret artysty (1985),.mp4,MPEG-4,Base Media,isom,546.64,0.53,1135509,00:18:55,4038.31,4.038,2025-04-04 12:07:32.8096608+02:00,Lavf61.9.106,AVC,3942.73,3.943,1920x1080,1.778,25.0,YUV,4:2:0,8.0,Progressive,,,,,,,,,1,AAC,88079.0,2.0,pl,Yes,,,,,,Docu,,,,,,,,,,,,,94,"[{'Codec': 'AAC', 'Bitrate (kbps)': 88079.0, 'Channels': 2, 'Language': 'pl', 'Default': 'Yes', 'Forced': None}]",,,,,,,
Bajka. Poemat symfoniczny St. Moniuszki (1952),\\192.168.50.135\Nowy1\MEDIA\Docu\35mm docu\Season 01\Bajka. Poemat symfoniczny St. Moniuszki (1952)\Bajka. Poemat symfoniczny St. Moniuszki (1952).mp4,Bajka. Poemat symfoniczny St. Moniuszki (1952),.mp4,MPEG-4,Base Media,isom,422.53,0.41,879786,00:14:39,4028.79,4.029,2025-04-04 12:05:32.5757699+02:00,Lavf61.9.106,AVC,3928.93,3.929,1920x1080,1.778,25.0,YUV,4:2:0,8.0,Progressive,,,,,,,,,1,AAC,92372.0,2.0,pl,Yes,,,,,,Docu,,,,,,,,,,,,,95,"[{'Codec': 'AAC', 'Bitrate (kbps)': 92372.0, 'Channels': 2, 'Language': 'pl', 'Default': 'Yes', 'Forced': None}]",,,,,,,
Ballada f-moll (1945),\\192.168.50.135\Nowy1\MEDIA\Docu\35mm docu\Season 01\Ballada f-moll (1945)\Ballada f-moll (1945).mp4,Ballada f-moll (1945),.mp4,MPEG-4,Base Media,isom,306.78,0.3,653311,00:10:53,3939.09,3.939,2025-04-04 12:03:57.0572997+02:00,Lavf61.9.106,AVC,3836.06,3.836,1920x1080,1.778,25.0,YUV,4:2:0,8.0,Progressive,,,,,,,,,1,AAC,96000.0,2.0,pl,Yes,,,,,,Docu,,,,,,,,,,,,,96,"[{'Codec': 'AAC', 'Bitrate (kbps)': 96000.0, 'Channels': 2, 'Language': 'pl', 'Default': 'Yes', 'Forced': None}]",,,,,,,
Bawiłem w Oświęcimiu (1982),\\192.168.50.135\Nowy1\MEDIA\Docu\35mm docu\Season 01\Bawiłem w Oświęcimiu (1982)\Bawiłem w Oświęcimiu (1982).mp4,Bawiłem w Oświęcimiu (1982),.mp4,MPEG-4,Base Media,isom,513.34,0.5,1086719,00:18:06,3962.59,3.963,2025-04-04 12:02:33.1115319+02:00,Lavf61.9.106,AVC,3862.82,3.863,1920x1080,1.778,25.0,YUV,4:2:0,8.0,Progressive,,,,,,,,,1,AAC,92320.0,2.0,pl,Yes,,,,,,Docu,,,,,,,,,,,,,97,"[{'Codec': 'AAC', 'Bitrate (kbps)': 92320.0, 'Channels': 2, 'Language': 'pl', 'Default': 'Yes', 'Forced': None}]",,,,,,,
Benedykta Jerzego Dorysa życie szczęśliwe (1990),\\192.168.50.135\Nowy1\MEDIA\Docu\35mm docu\Season 01\Benedykta Jerzego Dorysa życie szczęśliwe (1990)\Benedykta Jerzego Dorysa życie szczęśliwe (1990).mp4,Benedykta Jerzego Dorysa życie szczęśliwe (1990),.mp4,MPEG-4,Base Media,isom,890.21,0.87,1828757,00:30:28,4083.45,4.083,2025-04-04 11:56:41.1573781+02:00,Lavf61.9.106,AVC,3975.32,3.975,1920x1080,1.778,25.0,YUV,4:2:0,8.0,Progressive,,,,,,,,,1,AAC,100619.0,2.0,pl,Yes,,,,,,Docu,,,,,,,,,,,,,98,"[{'Codec': 'AAC', 'Bitrate (kbps)': 100619.0, 'Channels': 2, 'Language': 'pl', 'Default': 'Yes', 'Forced': None}]",,,,,,,
Bez pieniędzy czyli 24 godziny z życia Jana Himilsbacha (1984),\\192.168.50.135\Nowy1\MEDIA\Docu\35mm docu\Season 01\Bez pieniędzy czyli 24 godziny z życia Jana Himilsbacha (1984)\Bez pieniędzy czyli 24 godziny z życia Jana Himilsbacha (1984).mp4,Bez pieniędzy czyli 24 godziny z życia Jana Himilsbacha (1984),.mp4,MPEG-4,Base Media,isom,505.79,0.49,1055146,00:17:35,4021.1,4.021,2025-04-04 12:00:54.2446670+02:00,Lavf61.9.106,AVC,3914.15,3.914,1920x1080,1.778,25.0,YUV,4:2:0,8.0,Progressive,,,,,,,,,1,AAC,99442.0,2.0,pl,Yes,,,,,,Docu,,,,,,,,,,,,,99,"[{'Codec': 'AAC', 'Bitrate (kbps)': 99442.0, 'Channels': 2, 'Language': 'pl', 'Default': 'Yes', 'Forced': None}]",,,,,,,
Bezkrwawa Rewolucja (2022),\\192.168.50.135\Nowy1\MEDIA\Docu\35mm docu\Season 01\Bezkrwawa Rewolucja (2022)\Bezkrwawa Rewolucja (2022).mp4,Bezkrwawa Rewolucja (2022),.mp4,MPEG-4,Base Media,isom,1528.71,1.49,3225621,00:53:45,3975.6,3.976,2025-04-04 11:54:41.4275931+02:00,Lavf61.9.106,AVC,3840.29,3.84,1920x1080,1.778,25.0,YUV,4:2:0,8.0,Progressive,,,,,,,,,1,AAC,127756.0,2.0,pl,Yes,,,,,,Docu,,,,,,,,,,,,,100,"[{'Codec': 'AAC', 'Bitrate (kbps)': 127756.0, 'Channels': 2, 'Language': 'pl', 'Default': 'Yes', 'Forced': None}]",,,,,,,
Bieg (1969),\\192.168.50.135\Nowy1\MEDIA\Docu\35mm docu\Season 01\Bieg (1969)\Bieg (1969).mp4,Bieg (1969),.mp4,MPEG-4,Base Media,isom,230.66,0.23,482303,00:08:02,4011.83,4.012,2025-04-04 11:51:32.8575819+02:00,Lavf61.9.106,AVC,3919.24,3.919,1920x1080,1.778,25.0,YUV,4:2:0,8.0,Progressive,,,,,,,,,1,AAC,85159.0,2.0,pl,Yes,,,Dramat,0.0,"Z biegiem lat, z biegiem dni...",Docu,,,,,,,,,,,,,101,"[{'Codec': 'AAC', 'Bitrate (kbps)': 85159.0, 'Channels': 2, 'Language': 'pl', 'Default': 'Yes', 'Forced': None}]",,,,,,,
Bolesław Bierut nie żyje (1956),\\192.168.50.135\Nowy1\MEDIA\Docu\35mm docu\Season 01\Bolesław Bierut nie żyje (1956)\Bolesław Bierut nie żyje (1956).mp4,Bolesław Bierut nie żyje (1956),.mp4,MPEG-4,Base Media,isom,117.7,0.11,263509,00:04:23,3746.75,3.747,2025-04-04 11:46:48.4479690+02:00,Lavf61.9.106,AVC,3666.5,3.667,1920x1080,1.778,25.0,YUV,4:2:0,8.0,Progressive,,,,,,,,,1,AAC,72000.0,2.0,pl,Yes,,,,,,Docu,,,,,,,,,,,,,102,"[{'Codec': 'AAC', 'Bitrate (kbps)': 72000.0, 'Channels': 2, 'Language': 'pl', 'Default': 'Yes', 'Forced': None}]",,,,,,,
