Title,Complete Path,Folder Name,Extension,Format,Format Profile,Codec ID,File Size (MB),File Size (GB),Duration,Duration Formatted,Overall Bitrate (kbps),Overall Bitrate (Mbps),Recorded Date,Writing Application,Video Codec,Video Bitrate (kbps),Video Bitrate (Mbps),Resolution,Aspect Ratio,Frame Rate (FPS),Color Space,Chroma Subsampling,Video Bit Depth,Scan Type,Encoding Library,HDR Format,Color Range,Color Primaries,Transfer Characteristics,Matrix Coefficients,Maximum Content Light Level (cd/m²),Maximum Frame-Average Light Level (cd/m²),Number of Audio Tracks,Audio Track 1 Codec,Audio Track 1 Bitrate (kbps),Audio Track 1 Channels,Audio Track 1 Language,Audio Track 1 Default,Audio Track 1 Forced,Subtitles Info,TMDB Genre(s),TMDB Rating,Polish Title,Source Directory,Audio Track 2 Codec,Audio Track 2 Bitrate (kbps),Audio Track 2 Channels,Audio Track 2 Language,Audio Track 2 Default,Audio Track 2 Forced,Audio Track 3 Codec,Audio Track 3 Bitrate (kbps),Audio Track 3 Channels,Audio Track 3 Language,Audio Track 3 Default,Audio Track 3 Forced,index,Audio Tracks,Subtitles,Audio Track 4 Codec,Audio Track 4 Bitrate (kbps),Audio Track 4 Channels,Audio Track 4 Language,Audio Track 4 Default,Audio Track 4 Forced
A Charlie Brown Christmas (1965),\\192.168.50.135\Nowy1\MEDIA\Christmas\A Charlie Brown Christmas (1965)\A Charlie Brown Christmas (1965).mkv,A Charlie Brown Christmas (1965),.mkv,Matroska,,,1174.01,1.15,1532491,00:25:32,6426.33,6.426,,Lavf58.67.100,HEVC,,,2880x2160,1.333,23.976,YUV,4:2:0,10.0,,x265 - 3.4+32-b24459657:[Linux][GCC 7.5.0][64 bit] 10bit,,Limited,BT.709,BT.709,BT.709,,,1,AAC,,6.0,,Yes,No,en,"Animacja, Familijny, Komedia, film TV",7.674,Gwiazdka Charlie Browna,Christmas,,,,,,,,,,,,,0,"[{'Codec': 'AAC', 'Bitrate (kbps)': None, 'Channels': 6, 'Language': None, 'Default': 'Yes', 'Forced': 'No'}]",['en'],,,,,,
A Christmas Carol (1984),\\192.168.50.135\Nowy1\MEDIA\Christmas\A Christmas Carol (1984)\A Christmas Carol (1984).mp4,A Christmas Carol (1984),.mp4,MPEG-4,Base Media,isom,3425.16,3.34,6068104,01:41:08,4734.97,4.735,,Lavf58.44.100,AVC,4500.0,4.5,1456x1080,1.348,23.976,YUV,4:2:0,8.0,Progressive,x264 - core 160 r3000 33f9e14,,,,,,,,1,AAC,271290.0,2.0,,Yes,,,"Animacja, Familijny, Fantasy, Dramat",6.893,Opowieść wigilijna,Christmas,,,,,,,,,,,,,1,"[{'Codec': 'AAC', 'Bitrate (kbps)': 271290.0, 'Channels': 2, 'Language': None, 'Default': 'Yes', 'Forced': None}]",,,,,,,
A Christmas Carol (1999),\\192.168.50.135\Nowy1\MEDIA\Christmas\A Christmas Carol (1999)\A Christmas Carol (1999).mp4,A Christmas Carol (1999),.mp4,MPEG-4,Base Media,isom,886.79,0.87,5617163,01:33:37,1324.33,1.324,,Lavf58.44.100,AVC,1200.0,1.2,1280x720,1.778,25.0,YUV,4:2:0,8.0,Progressive,x264 - core 160 r3000 33f9e14,,,,,,,,1,AAC,127999.0,2.0,,Yes,,,"Animacja, Familijny, Fantasy, Dramat",6.893,Opowieść wigilijna,Christmas,,,,,,,,,,,,,2,"[{'Codec': 'AAC', 'Bitrate (kbps)': 127999.0, 'Channels': 2, 'Language': None, 'Default': 'Yes', 'Forced': None}]",,,,,,,
A Christmas Carol (2009),\\192.168.50.135\Nowy1\MEDIA\Christmas\A Christmas Carol (2009)\A Christmas Carol (2009).mkv,A Christmas Carol (2009),.mkv,Matroska,,,8381.76,8.19,5748800,01:35:48,12230.6,12.231,,mkvmerge v62.0.0 ('Apollo') 64-bit,AVC,10339.0,10.339,1920x800,2.4,23.976,YUV,4:2:0,8.0,Progressive,x264 - core 102 r1666 d058f37,,,,,,,,2,AC-3,384000.0,6.0,pl,Yes,No,"pl, en","Animacja, Familijny, Fantasy, Dramat",6.893,Opowieść wigilijna,Christmas,DTS,1509000.0,6.0,en,No,No,,,,,,,3,"[{'Codec': 'AC-3', 'Bitrate (kbps)': 384000.0, 'Channels': 6, 'Language': 'pl', 'Default': 'Yes', 'Forced': 'No'}, {'Codec': 'DTS', 'Bitrate (kbps)': 1509000.0, 'Channels': 6, 'Language': 'en', 'Default': 'No', 'Forced': 'No'}]","['pl', 'en']",,,,,,
A Very Murray Christmas (2015),\\192.168.50.135\Nowy1\MEDIA\Christmas\A Very Murray Christmas (2015)\A Very Murray Christmas (2015).mp4,A Very Murray Christmas (2015),.mp4,MPEG-4,Base Media,isom,2543.12,2.48,3393440,00:56:33,6286.62,6.287,2015,Lavf60.3.100,AVC,5634.62,5.635,1920x1080,1.778,23.976,YUV,4:2:0,8.0,Progressive,x264 - core 148 r2727 7d026e8,,,,,,,,1,E-AC-3,640000.0,6.0,en,Yes,,"en, de, pl","Komedia, Muzyczny, film TV",5.24,A Very Murray Christmas,Christmas,,,,,,,,,,,,,4,"[{'Codec': 'E-AC-3', 'Bitrate (kbps)': 640000.0, 'Channels': 6, 'Language': 'en', 'Default': 'Yes', 'Forced': None}]","['en', 'de', 'pl']",,,,,,
Call Me Claus (2001),\\192.168.50.135\Nowy1\MEDIA\Christmas\Call Me Claus (2001)\Call Me Claus (2001).mp4,Call Me Claus (2001),.mp4,MPEG-4,Base Media,isom,1940.35,1.89,5188080,01:26:28,3137.35,3.137,,Lavf58.44.100,AVC,2918.0,2.918,1920x1080,1.778,25.0,YUV,4:2:0,8.0,Progressive,x264 - core 160 r3000 33f9e14,,,,,,,,1,AAC,280807.0,2.0,,Yes,,,"film TV, Familijny",5.7,Zawód święty Mikołaj,Christmas,,,,,,,,,,,,,5,"[{'Codec': 'AAC', 'Bitrate (kbps)': 280807.0, 'Channels': 2, 'Language': None, 'Default': 'Yes', 'Forced': None}]",,,,,,,
Christmas Chronicles (2018),\\192.168.50.135\Nowy1\MEDIA\Christmas\Christmas Chronicles (2018)\Christmas Chronicles (2018).mp4,Christmas Chronicles (2018),.mp4,MPEG-4,Base Media,isom,3424.9,3.34,6315296,01:45:15,4549.29,4.549,2018,Lavf60.3.100,AVC,2619.08,2.619,1920x1080,1.778,24.0,YUV,4:2:0,8.0,Progressive,x264 - core 148 r2727 7d026e8,,,,,,,,3,E-AC-3,640000.0,6.0,de,Yes,,"en, de, pl","Familijny, Fantasy, Przygodowy, Komedia",6.481,Kronika świąteczna: Część druga,Christmas,E-AC-3,640000.0,6.0,en,Yes,,E-AC-3,640000.0,6.0,pl,Yes,,6,"[{'Codec': 'E-AC-3', 'Bitrate (kbps)': 640000.0, 'Channels': 6, 'Language': 'de', 'Default': 'Yes', 'Forced': None}, {'Codec': 'E-AC-3', 'Bitrate (kbps)': 640000.0, 'Channels': 6, 'Language': 'en', 'Default': 'Yes', 'Forced': None}, {'Codec': 'E-AC-3', 'Bitrate (kbps)': 640000.0, 'Channels': 6, 'Language': 'pl', 'Default': 'Yes', 'Forced': None}]","['en', 'de', 'pl', 'de', 'en', 'pl']",,,,,,
Christmas Vacation (1989),\\192.168.50.135\Nowy1\MEDIA\Christmas\Christmas Vacation (1989)\Christmas Vacation (1989).mp4,Christmas Vacation (1989),.mp4,MPEG-4,Base Media,isom,3184.69,3.11,5831363,01:37:11,4581.28,4.581,,Lavf58.44.100,AVC,4407.0,4.407,1920x1086,1.768,23.976,YUV,4:2:0,8.0,Progressive,x264 - core 160 r3000 33f9e14,,,,,,,,1,AAC,245069.0,2.0,,Yes,,,"Komedia, Romans",5.173,Vacanze di Natale '90,Christmas,,,,,,,,,,,,,7,"[{'Codec': 'AAC', 'Bitrate (kbps)': 245069.0, 'Channels': 2, 'Language': None, 'Default': 'Yes', 'Forced': None}]",,,,,,,
Christmas with the Kranks (2004),\\192.168.50.135\Nowy1\MEDIA\Christmas\Christmas with the Kranks (2004)\Christmas with the Kranks (2004).mp4,Christmas with the Kranks (2004),.mp4,MPEG-4,Base Media,isom,3061.19,2.99,5932260,01:38:52,4328.73,4.329,,Lavf58.44.100,AVC,4140.0,4.14,1920x798,2.406,23.976,YUV,4:2:0,8.0,Progressive,x264 - core 160 r3000 33f9e14,,,,,,,,1,AAC,273431.0,2.0,,Yes,,,"Komedia, Familijny",6.148,Święta last minute,Christmas,,,,,,,,,,,,,8,"[{'Codec': 'AAC', 'Bitrate (kbps)': 273431.0, 'Channels': 2, 'Language': None, 'Default': 'Yes', 'Forced': None}]",,,,,,,
Chronicles of Narnia (2005),\\192.168.50.135\Nowy1\MEDIA\Christmas\Chronicles of Narnia (2005)\Chronicles of Narnia (2005).mkv,Chronicles of Narnia (2005),.mkv,Matroska,,,11451.0,11.18,8571712,02:22:51,11206.39,11.206,,mkvmerge v70.0.0 ('Caught A Lite Sneeze') 64-bit,AVC,9925.0,9.925,1920x816,2.353,23.976,YUV,4:2:0,8.0,Progressive,x264 - core 59 r839 27c3071,,,,,,,,2,AC-3,640000.0,6.0,en,No,No,pl,"Przygodowy, Familijny, Fantasy",7.1,"Opowieści z Narnii: Lew, Czarownica i stara szafa",Christmas,AC-3,640000.0,6.0,pl,Yes,Yes,,,,,,,9,"[{'Codec': 'AC-3', 'Bitrate (kbps)': 640000.0, 'Channels': 6, 'Language': 'en', 'Default': 'No', 'Forced': 'No'}, {'Codec': 'AC-3', 'Bitrate (kbps)': 640000.0, 'Channels': 6, 'Language': 'pl', 'Default': 'Yes', 'Forced': 'Yes'}]",['pl'],,,,,,
Deck the Halls (2006),\\192.168.50.135\Nowy1\MEDIA\Christmas\Deck the Halls (2006)\Deck the Halls (2006).mkv,Deck the Halls (2006),.mkv,Matroska,,,22514.18,21.99,5578880,01:32:58,33853.15,33.853,,mkvmerge v70.0.0 ('Caught A Lite Sneeze') 64-bit,AVC,28768.71,28.769,1920x1080,1.778,23.976,YUV,4:2:0,8.0,Progressive,,,,,,,,,3,AC-3,448000.0,6.0,pl,Yes,No,"pl, en","Komedia, Familijny",5.608,Wesołych Świąt,Christmas,DTS,3966320.0,6.0,en,No,No,AC-3,640000.0,6.0,en,No,No,10,"[{'Codec': 'AC-3', 'Bitrate (kbps)': 448000.0, 'Channels': 6, 'Language': 'pl', 'Default': 'Yes', 'Forced': 'No'}, {'Codec': 'DTS', 'Bitrate (kbps)': 3966320.0, 'Channels': 6, 'Language': 'en', 'Default': 'No', 'Forced': 'No'}, {'Codec': 'AC-3', 'Bitrate (kbps)': 640000.0, 'Channels': 6, 'Language': 'en', 'Default': 'No', 'Forced': 'No'}]","['pl', 'pl', 'en']",,,,,,
Home Alone (1990),\\192.168.50.135\Nowy1\MEDIA\Christmas\Home Alone (1990)\Home Alone (1990).mkv,Home Alone (1990),.mkv,Matroska,,,53602.94,52.35,6174144,01:42:54,72828.57,72.829,,mkvmerge v7.5.0 ('Glass Culture') 32bit built on Jan  4 2015 16:37:25,HEVC,67732.6,67.733,3840x2160,1.778,23.976,YUV,4:2:0,10.0,,,SMPTE ST 2086,Limited,BT.2020,PQ,BT.2020 non-constant,,,3,AC-3,448000.0,6.0,pl,Yes,No,"pl, en","Komedia, Familijny",7.4,Kevin sam w domu,Christmas,DTS,4022036.0,6.0,en,No,No,AC-3,640000.0,6.0,en,No,No,11,"[{'Codec': 'AC-3', 'Bitrate (kbps)': 448000.0, 'Channels': 6, 'Language': 'pl', 'Default': 'Yes', 'Forced': 'No'}, {'Codec': 'DTS', 'Bitrate (kbps)': 4022036.0, 'Channels': 6, 'Language': 'en', 'Default': 'No', 'Forced': 'No'}, {'Codec': 'AC-3', 'Bitrate (kbps)': 640000.0, 'Channels': 6, 'Language': 'en', 'Default': 'No', 'Forced': 'No'}]","['pl', 'pl', 'en']",,,,,,
Home Alone 2 Lost in New York (1992),\\192.168.50.135\Nowy1\MEDIA\Christmas\Home Alone 2 Lost in New York (1992)\Home Alone 2 Lost in New York (1992).mkv,Home Alone 2 Lost in New York (1992),.mkv,Matroska,,,18185.69,17.76,7200448,02:00:00,21186.54,21.187,,mkvmerge v88.0 ('All I Know') 64-bit,HEVC,16426.1,16.426,3840x2160,1.778,23.976,YUV,4:2:0,10.0,,,Dolby Vision / SMPTE ST 2086,Limited,BT.2020,PQ,BT.2020 non-constant,,,3,AC-3,384000.0,6.0,pl,Yes,No,"pl, en","Komedia, Familijny, Przygodowy",6.768,Kevin sam w Nowym Jorku,Christmas,DTS,3707167.0,6.0,en,No,No,AC-3,640000.0,6.0,en,No,No,12,"[{'Codec': 'AC-3', 'Bitrate (kbps)': 384000.0, 'Channels': 6, 'Language': 'pl', 'Default': 'Yes', 'Forced': 'No'}, {'Codec': 'DTS', 'Bitrate (kbps)': 3707167.0, 'Channels': 6, 'Language': 'en', 'Default': 'No', 'Forced': 'No'}, {'Codec': 'AC-3', 'Bitrate (kbps)': 640000.0, 'Channels': 6, 'Language': 'en', 'Default': 'No', 'Forced': 'No'}]","['pl', 'en']",,,,,,
Jingle All the Way (1996),\\192.168.50.135\Nowy1\MEDIA\Christmas\Jingle All the Way (1996)\Jingle All the Way (1996).mp4,Jingle All the Way (1996),.mp4,MPEG-4,Base Media,isom,2616.69,2.56,5372785,01:29:32,4085.48,4.085,,Lavf58.44.100,AVC,4012.0,4.012,1920x1040,1.846,23.976,YUV,4:2:0,8.0,Progressive,x264 - core 160 r3000 33f9e14,,,,,,,,1,AAC,183997.0,2.0,,Yes,,,"Familijny, Komedia, Przygodowy",6.1,Świąteczna Gorączka,Christmas,,,,,,,,,,,,,13,"[{'Codec': 'AAC', 'Bitrate (kbps)': 183997.0, 'Channels': 2, 'Language': None, 'Default': 'Yes', 'Forced': None}]",,,,,,,
Last Holiday (2006),\\192.168.50.135\Nowy1\MEDIA\Christmas\Last Holiday (2006)\Last Holiday (2006).mkv,Last Holiday (2006),.mkv,Matroska,,,28798.95,28.12,6698304,01:51:38,36066.3,36.066,,mkvmerge v90.0 ('Hanging On') 64-bit,AVC,31930.83,31.931,1920x1080,1.778,23.976,YUV,4:2:0,8.0,Progressive,,,,,,,,,3,AC-3,192000.0,2.0,pl,Yes,No,"pl, en","Przygodowy, Komedia, Dramat",7.221,Ostatnie wakacje,Christmas,MLP FBA,3227831.0,6.0,en,No,No,AC-3,640000.0,6.0,en,No,No,14,"[{'Codec': 'AC-3', 'Bitrate (kbps)': 192000.0, 'Channels': 2, 'Language': 'pl', 'Default': 'Yes', 'Forced': 'No'}, {'Codec': 'MLP FBA', 'Bitrate (kbps)': 3227831.0, 'Channels': 6, 'Language': 'en', 'Default': 'No', 'Forced': 'No'}, {'Codec': 'AC-3', 'Bitrate (kbps)': 640000.0, 'Channels': 6, 'Language': 'en', 'Default': 'No', 'Forced': 'No'}]","['pl', 'en']",,,,,,
Listy do M. (2011),\\192.168.50.135\Nowy1\MEDIA\Christmas\Listy do M. (2011)\Listy do M. (2011).mkv,Listy do M. (2011),.mkv,Matroska,,,8185.64,7.99,6715880,01:51:55,10224.44,10.224,,mkvmerge v53.0.0 ('Fool's Gold') 64-bit,AVC,8721.0,8.721,1920x1080,1.778,25.0,YUV,4:2:0,8.0,Progressive,x264 - core 120 r2120bm 0c7dab9,,,,,,,,1,DTS,1509000.0,6.0,pl,No,No,en,"Komedia, Romans",6.9,Listy do M.,Christmas,,,,,,,,,,,,,15,"[{'Codec': 'DTS', 'Bitrate (kbps)': 1509000.0, 'Channels': 6, 'Language': 'pl', 'Default': 'No', 'Forced': 'No'}]",['en'],,,,,,
Love Actually (2003),\\192.168.50.135\Nowy1\MEDIA\Christmas\Love Actually (2003)\Love Actually (2003).mkv,Love Actually (2003),.mkv,Matroska,,,14300.38,13.97,8092726,02:14:52,14823.22,14.823,,mkvmerge v70.0.0 ('Caught A Lite Sneeze') 64-bit,AVC,12863.0,12.863,1920x816,2.353,23.976,YUV,4:2:0,8.0,Progressive,x264 - core 80 r1376M 3feaec2,,,,,,,,2,AC-3,448000.0,6.0,pl,Yes,No,pl,"Komedia, Romans, Dramat",7.102,To właśnie miłość,Christmas,DTS,1509000.0,6.0,en,No,No,,,,,,,16,"[{'Codec': 'AC-3', 'Bitrate (kbps)': 448000.0, 'Channels': 6, 'Language': 'pl', 'Default': 'Yes', 'Forced': 'No'}, {'Codec': 'DTS', 'Bitrate (kbps)': 1509000.0, 'Channels': 6, 'Language': 'en', 'Default': 'No', 'Forced': 'No'}]",['pl'],,,,,,
Mickey's Christmas Carol (1983),\\192.168.50.135\Nowy1\MEDIA\Christmas\Mickey's Christmas Carol (1983)\Mickey's Christmas Carol (1983).mp4,Mickey's Christmas Carol (1983),.mp4,MPEG-4,Base Media,isom,709.13,0.69,1542230,00:25:42,3857.15,3.857,1983,Lavf58.76.100,AVC,3618.37,3.618,1280x720,1.778,23.976,YUV,4:2:0,8.0,Progressive,,,Limited,BT.709,BT.709,BT.709,,,1,AAC,125375.0,2.0,en,Yes,,"en, pl","Familijny, Animacja",7.6,Opowieść wigilijna Myszki Miki,Christmas,,,,,,,,,,,,,17,"[{'Codec': 'AAC', 'Bitrate (kbps)': 125375.0, 'Channels': 2, 'Language': 'en', 'Default': 'Yes', 'Forced': None}]","['en', 'pl']",,,,,,
Miracle on 34th Street (1994),\\192.168.50.135\Nowy1\MEDIA\Christmas\Miracle on 34th Street (1994)\Miracle on 34th Street (1994).mp4,Miracle on 34th Street (1994),.mp4,MPEG-4,Base Media,isom,2433.0,2.38,6840622,01:54:00,2983.57,2.984,,Lavf58.44.100,AVC,2853.0,2.853,1920x1040,1.846,23.976,YUV,4:2:0,8.0,Progressive,x264 - core 160 r3000 33f9e14,,,,,,,,1,AAC,192000.0,2.0,,Yes,,,"Fantasy, Dramat, Familijny",6.745,Cud na 34. ulicy,Christmas,,,,,,,,,,,,,18,"[{'Codec': 'AAC', 'Bitrate (kbps)': 192000.0, 'Channels': 2, 'Language': None, 'Default': 'Yes', 'Forced': None}]",,,,,,,
Mr. Magoos Christmas Carol (1962),\\192.168.50.135\Nowy1\MEDIA\Christmas\Mr. Magoos Christmas Carol (1962)\Mr. Magoos Christmas Carol (1962).mp4,Mr. Magoos Christmas Carol (1962),.mp4,MPEG-4,Base Media,isom,2370.47,2.31,3143099,00:52:23,6326.55,6.327,1962,Lavf59.28.100,AVC,6128.61,6.129,1920x1080,1.778,23.976,YUV,4:2:0,8.0,Progressive,,,,,,,,,1,AAC,192000.0,2.0,en,Yes,,en,"Animacja, Familijny, film TV, Komedia",6.3,Mister Magoo's Christmas Carol,Christmas,,,,,,,,,,,,,19,"[{'Codec': 'AAC', 'Bitrate (kbps)': 192000.0, 'Channels': 2, 'Language': 'en', 'Default': 'Yes', 'Forced': None}]",['en'],,,,,,
Nieznana opowieść wigilijna (2000),\\192.168.50.135\Nowy1\MEDIA\Christmas\Nieznana opowieść wigilijna (2000)\Nieznana opowieść wigilijna (2000).mp4,Nieznana opowieść wigilijna (2000),.mp4,MPEG-4,Base Media,isom,1842.81,1.8,3505216,00:58:25,4410.16,4.41,,,AVC,4214.31,4.214,1920x1080,1.778,25.0,YUV,4:2:0,8.0,Progressive,x264 - core 161,,Limited,BT.709,BT.709,BT.709,,,1,AAC,192000.0,2.0,en,Yes,,,,5.0,Nieznana opowieść wigilijna,Christmas,,,,,,,,,,,,,20,"[{'Codec': 'AAC', 'Bitrate (kbps)': 192000.0, 'Channels': 2, 'Language': 'en', 'Default': 'Yes', 'Forced': None}]",,,,,,,
Scrooge (1970),\\192.168.50.135\Nowy1\MEDIA\Christmas\Scrooge (1970)\Scrooge (1970).mp4,Scrooge (1970),.mp4,MPEG-4,Base Media,isom,2843.04,2.78,6576747,01:49:36,3626.28,3.626,,Lavf58.44.100,AVC,3392.0,3.392,1920x1080,1.778,25.0,YUV,4:2:0,8.0,Progressive,x264 - core 160 r3000 33f9e14,,,,,,,,1,AAC,288000.0,2.0,,Yes,,,"Fantasy, Dramat",7.4,Scrooge,Christmas,,,,,,,,,,,,,21,"[{'Codec': 'AAC', 'Bitrate (kbps)': 288000.0, 'Channels': 2, 'Language': None, 'Default': 'Yes', 'Forced': None}]",,,,,,,
Scrooged (1988),\\192.168.50.135\Nowy1\MEDIA\Christmas\Scrooged (1988)\Scrooged (1988).mp4,Scrooged (1988),.mp4,MPEG-4,Base Media,isom,2287.98,2.23,6056040,01:40:56,3169.23,3.169,,,AVC,2981.0,2.981,1920x1080,1.778,23.976,YUV,4:2:0,8.0,Progressive,x264 - core 160 r3000 33f9e14,,,,,,,,1,AAC,288000.0,2.0,,Yes,,,"Fantasy, Komedia, Dramat",6.789,Wigilijny show,Christmas,,,,,,,,,,,,,22,"[{'Codec': 'AAC', 'Bitrate (kbps)': 288000.0, 'Channels': 2, 'Language': None, 'Default': 'Yes', 'Forced': None}]",,,,,,,
Surviving Christmas (2004),\\192.168.50.135\Nowy1\MEDIA\Christmas\Surviving Christmas (2004)\Surviving Christmas (2004).mp4,Surviving Christmas (2004),.mp4,MPEG-4,Base Media,isom,5212.44,5.09,5442240,01:30:42,8034.39,8.034,2004,Lavf60.3.100,AVC,7830.0,7.83,1920x1080,1.778,23.976,YUV,4:2:0,8.0,Progressive,x264 - core 148 r236 a01e339,,Limited,BT.709,BT.709,BT.709,,,2,E-AC-3,96000.0,2.0,,Yes,,,"Komedia, Romans",5.695,Przetrwać święta,Christmas,E-AC-3,96000.0,2.0,,Yes,,,,,,,,23,"[{'Codec': 'E-AC-3', 'Bitrate (kbps)': 96000.0, 'Channels': 2, 'Language': None, 'Default': 'Yes', 'Forced': None}, {'Codec': 'E-AC-3', 'Bitrate (kbps)': 96000.0, 'Channels': 2, 'Language': None, 'Default': 'Yes', 'Forced': None}]",[],,,,,,
Holiday (2006),\\192.168.50.135\Nowy1\MEDIA\Christmas\The Holiday (2006)\Holiday (2006).mkv,The Holiday (2006),.mkv,Matroska,,,13485.96,13.17,8146144,02:15:46,13887.36,13.887,,mkvmerge v70.0.0 ('Caught A Lite Sneeze') 64-bit,AVC,12000.0,12.0,1920x1040,1.846,23.976,YUV,4:2:0,8.0,Progressive,x264 - core 140 r2377+40 929f149 tMod [8-bit@4:2:0 X86_64],,Limited,BT.709,BT.709,BT.709,,,2,DTS,1509000.0,6.0,en,No,No,pl,"Komedia, Romans, Dramat",7.287,Wakacje,Christmas,AC-3,384000.0,6.0,pl,Yes,No,,,,,,,24,"[{'Codec': 'DTS', 'Bitrate (kbps)': 1509000.0, 'Channels': 6, 'Language': 'en', 'Default': 'No', 'Forced': 'No'}, {'Codec': 'AC-3', 'Bitrate (kbps)': 384000.0, 'Channels': 6, 'Language': 'pl', 'Default': 'Yes', 'Forced': 'No'}]",['pl'],,,,,,
The Muppet Christmas Carol (1992),\\192.168.50.135\Nowy1\MEDIA\Christmas\The Muppet Christmas Carol (1992)\The Muppet Christmas Carol (1992).mkv,The Muppet Christmas Carol (1992),.mkv,Matroska,,,25549.64,24.95,5157088,01:25:57,41559.48,41.559,,mkvmerge v88.0 ('All I Know') 64-bit,AVC,36536.6,36.537,1920x1080,1.778,23.976,YUV,4:2:0,8.0,Progressive,,,,,,,,,3,AC-3,192000.0,2.0,pl,Yes,No,"pl, en","Muzyczny, Komedia, Familijny, Fantasy, Dramat",7.423,Opowieść wigilijna Muppetów,Christmas,DTS,4173197.0,6.0,en,No,No,AC-3,640000.0,6.0,en,No,No,25,"[{'Codec': 'AC-3', 'Bitrate (kbps)': 192000.0, 'Channels': 2, 'Language': 'pl', 'Default': 'Yes', 'Forced': 'No'}, {'Codec': 'DTS', 'Bitrate (kbps)': 4173197.0, 'Channels': 6, 'Language': 'en', 'Default': 'No', 'Forced': 'No'}, {'Codec': 'AC-3', 'Bitrate (kbps)': 640000.0, 'Channels': 6, 'Language': 'en', 'Default': 'No', 'Forced': 'No'}]","['pl', 'en']",,,,,,
The Muppet Christmas Carol - Extended (1992),\\192.168.50.135\Nowy1\MEDIA\Christmas\The Muppet Christmas Carol (1992)\The Muppet Christmas Carol - Extended (1992).mkv,The Muppet Christmas Carol (1992),.mkv,Matroska,,,3378.52,3.3,5339042,01:28:59,5308.27,5.308,,mkvmerge v20.0.0 ('I Am The Sun') 64-bit,HEVC,4747.31,4.747,1920x1032,1.86,23.976,YUV,4:2:0,10.0,,x265 - 3.5+12+14-106329cbd:[Windows][GCC 10.3.0][64 bit] 10bit,,,,,,,,2,AAC,437691.0,6.0,en,Yes,No,en,,,,Christmas,AAC,120124.0,2.0,en,No,No,,,,,,,26,"[{'Codec': 'AAC', 'Bitrate (kbps)': 437691.0, 'Channels': 6, 'Language': 'en', 'Default': 'Yes', 'Forced': 'No'}, {'Codec': 'AAC', 'Bitrate (kbps)': 120124.0, 'Channels': 2, 'Language': 'en', 'Default': 'No', 'Forced': 'No'}]",['en'],,,,,,
The Santa Clause (1994),\\192.168.50.135\Nowy1\MEDIA\Christmas\The Santa Clause (1994)\The Santa Clause (1994).mp4,The Santa Clause (1994),.mp4,MPEG-4,Base Media,isom,1659.44,1.62,5828365,01:37:08,2388.38,2.388,,Lavf58.44.100,AVC,2174.0,2.174,1920x1040,1.846,23.976,YUV,4:2:0,8.0,Progressive,x264 - core 160 r3000 33f9e14,,,,,,,,1,AAC,281756.0,2.0,,Yes,,,"Fantasy, Dramat, Komedia, Familijny",6.503,Śnięty Mikołaj,Christmas,,,,,,,,,,,,,27,"[{'Codec': 'AAC', 'Bitrate (kbps)': 281756.0, 'Channels': 2, 'Language': None, 'Default': 'Yes', 'Forced': None}]",,,,,,,
Amy Winehouse - I Told You I Was Trouble [2007],\\192.168.50.135\Nowy1\MEDIA\Concert\Amy Winehouse - I Told You I Was Trouble [2007]\Amy Winehouse - I Told You I Was Trouble [2007].mp4,Amy Winehouse - I Told You I Was Trouble [2007],.mp4,MPEG-4,Base Media,isom,3498.72,3.42,3943200,01:05:43,7443.04,7.443,2007,Lavf60.3.100,AVC,7212.35,7.212,1920x1080,1.778,25.0,YUV,4:2:0,8.0,Progressive,,,Limited,BT.709,BT.709,BT.709,,,1,E-AC-3,224000.0,2.0,en,Yes,,,Muzyczny,7.7,Amy Winehouse: I Told You I Was Trouble - Live In London,Concert,,,,,,,,,,,,,28,"[{'Codec': 'E-AC-3', 'Bitrate (kbps)': 224000.0, 'Channels': 2, 'Language': 'en', 'Default': 'Yes', 'Forced': None}]",,,,,,,
Amy Winehouse - Live in London [2007],\\192.168.50.135\Nowy1\MEDIA\Concert\Amy Winehouse - Live in London [2007]\Amy Winehouse - Live in London [2007].mp4,Amy Winehouse - Live in London [2007],.mp4,MPEG-4,Base Media,isom,4047.19,3.95,3986336,01:06:26,8516.66,8.517,2007,Lavf60.3.100,AVC,8285.42,8.285,1920x1080,1.778,25.0,YUV,4:2:0,8.0,Progressive,,,Limited,BT.709,BT.709,BT.709,,,1,E-AC-3,224000.0,2.0,en,Yes,,en,Muzyczny,7.7,Amy Winehouse: I Told You I Was Trouble - Live In London,Concert,,,,,,,,,,,,,29,"[{'Codec': 'E-AC-3', 'Bitrate (kbps)': 224000.0, 'Channels': 2, 'Language': 'en', 'Default': 'Yes', 'Forced': None}]",['en'],,,,,,
